target_body,source_anim
robot,A10_-_lie_to_crouch_stageii
robot,A11_-_crawl_forward_stageii
robot,A12_-_crawl_backwards_stageii
robot,A14_-_stand_to_skip_stageii
robot,A15_-_skip_to_stand_stageii
robot,A1_-_Stand_stageii
robot,A2_-_Sway_stageii
robot,A2_-_Sway_t2_stageii
robot,A3_-_Swing_stageii
robot,A3_-_Swing_t2_stageii
robot,A4_-_look_stageii
robot,A5_-_pick_up_box_stageii
robot,A6-_lift_box_t2_stageii
robot,A6_-_lift_box_stageii
robot,A7_-_crouch_stageii
robot,A8_-_crouch_to_lie_stageii
robot,A9_-_lie_t2_stageii
robot,B10_-_walk_turn_left_(45)_stageii
robot,B11_-_walk_turn_left_(135)_stageii
robot,B12_-_walk_turn_right_(90)_stageii
robot,B13_-_walk_turn_right_(45)_stageii
robot,B14_-_walk_turn_right_(135)_stageii
robot,B15_-_walk_turn_around_(same_direction)_stageii
robot,B16_-_walk_turn_change_direction_stageii
robot,B17_-_walk_to_hop_to_walk1_stageii
robot,B18_-_walk_to_leap_to_walk_stageii
robot,B19_-_walk_to_pick_up_box_stageii
robot,B1_-_stand_to_walk_stageii
robot,B20_-_walk_with_box_stageii
robot,B21_-_put_down_box_to_walk_stageii
robot,B21_s2_-_put_down_box_to_walk_stageii
robot,B21_s3_-_put_down_box_to_walk_stageii
robot,B22_-_side_step_left_stageii
robot,B23_-_side_step_right_stageii
robot,B24_-_walk_to_crouch_stageii
robot,B25_-_crouch_to_walk1_stageii
robot,B27_-skip_to_walk1_stageii
robot,B2_-_walk_to_stand_stageii
robot,B2_-_walk_to_stand_t2_stageii
robot,B3_-_walk1_stageii
robot,B4_-_stand_to_walk_back_stageii
robot,B5_-_walk_backwards_stageii
robot,B6_-_walk_backwards_to_stand_stageii
robot,B7_-_walk_backwards_turn_forwards_stageii
robot,B9_-_walk_turn_left_(90)_stageii
robot,C10_-__run_backwards_stop_run_forward_stageii
robot,C11_-__run_turn_left_(90)_stageii
robot,C13_-__run_turn_left_(135)_stageii
robot,C14_-__run_turn_right__(90)_stageii
robot,C15_-__run_turn_right__(45)_stageii
robot,C16_-__run_turn_right__(135)_stageii
robot,C19_-__run_to_hop_to_walk_stageii
robot,C20_-__run_to_jump_to_walk_stageii
robot,C21_-__run_to_pick_up_box_stageii
robot,C21_s2_-__run_to_pick_up_box_stageii
robot,C22_-__run_with_box_stageii
robot,C24_-__side_step_left_stageii
robot,C25_-__side_step_right_stageii
robot,C26_-__run_to_crouch_stageii
robot,C27_-_crouch_to_run1_stageii
robot,C2_-_Run_to_stand_stageii
robot,C3_-_Run_stageii
robot,C4_-_Run_to_walk1_stageii
robot,C5_-_walk_to_run_stageii
robot,C6_-_stand_to_run_backwards_stageii
robot,C7_-__run_backwards_stageii
robot,C8_-__run_backwards_to_stand_stageii
robot,C9_-__run_backwards_turn_run_forward_stageii
robot,D1_-_Urban_1_stageii
robot,D2_-_Wait_1_stageii
robot,D3_-_Conversation_Gestures_stageii
robot,D5_-_Random_Stuff_2_stageii
robot,D6-_CartWheel_stageii
